state,total,D,R,year,D_pv2p,R_pv2p
Oregon,786305,501017,282779,1964,63.92186232,36.07813768
Pennsylvania,4822690,3130954,1673657,1964,65.16560862,34.83439138
Rhode Island,390091,315463,74615,1964,80.87177436,19.12822564
South Carolina,524779,215723,309048,1964,41.10802617,58.89197383
South Dakota,293118,163010,130108,1964,55.61241548,44.38758452
Tennessee,1143946,634947,508965,1964,55.50662988,44.49337012
Texas,2626811,1663185,958566,1964,63.43794662,36.56205338
Utah,401413,219628,181785,1964,54.71372377,45.28627623
Vermont,163089,108127,54942,1964,66.307514,33.692486
Virginia,1042267,558038,481334,1964,53.68992045,46.31007955
Washington,1258556,779881,470366,1964,62.37815408,37.62184592
West Virginia,792040,538087,253953,1964,67.93684662,32.06315338
Wisconsin,1691815,1050424,638495,1964,62.19504902,37.80495098
Wyoming,142716,80718,61998,1964,56.55847978,43.44152022
Alabama,1049922,196579,146923,1968,57.22790551,42.77209449
Alaska,83035,35411,37600,1968,48.50091082,51.49908918
Arizona,486936,170514,266721,1968,38.99825037,61.00174963
Arkansas,619969,188228,190759,1968,49.66608353,50.33391647
California,7251587,3244318,3467664,1968,48.33621425,51.66378575
Colorado,811199,335174,409345,1968,45.01886453,54.98113547
Connecticut,1256232,621561,556721,1968,52.75146357,47.24853643
Delaware,214367,89194,96714,1968,47.97749424,52.02250576
District of Columbia,170578,139566,31012,1968,81.81946089,18.18053911
Florida,2187805,676794,886804,1968,43.28439919,56.71560081
Georgia,1250266,334440,380111,1968,46.80421691,53.19578309
Hawaii,236218,141324,91425,1968,60.71948752,39.28051248
Idaho,291183,89273,165369,1968,35.05823863,64.94176137
Illinois,4619749,2039814,2174774,1968,48.39889451,51.60110549
Indiana,2123597,806659,1067885,1968,43.03227878,56.96772122
Iowa,1167931,476699,619106,1968,43.5021742,56.4978258
Kansas,872783,302996,478674,1968,38.7626492,61.2373508
Kentucky,1055893,397541,462411,1968,46.22827786,53.77172214
Louisiana,1097450,309615,257535,1968,54.59137794,45.40862206
Maine,392936,217312,169254,1968,56.21601486,43.78398514
Maryland,1235039,538310,517995,1968,50.96160673,49.03839327
Massachusetts,2331752,1469218,766844,1968,65.70560208,34.29439792
Michigan,3306250,1593082,1370665,1968,53.75229397,46.24770603
Minnesota,1588506,857738,658643,1968,56.56480792,43.43519208
Mississippi,654509,150644,88516,1968,62.98879411,37.01120589
Missouri,1809502,791444,811932,1968,49.36109808,50.63890192
Montana,274404,114117,138835,1968,45.11409279,54.88590721
Nebraska,536851,170784,321163,1968,34.71593485,65.28406515
Nevada,154218,60598,73188,1968,45.29472441,54.70527559
New Hampshire,297298,130589,154903,1968,45.74173707,54.25826293
New Jersey,2875395,1264206,1325467,1968,48.81720588,51.18279412
New Mexico,327350,130081,169692,1968,43.3931675,56.6068325
New York,6791688,3378470,3007932,1968,52.90099183,47.09900817
North Carolina,1587493,464113,627192,1968,42.52825745,57.47174255
North Dakota,247882,94769,138669,1968,40.59707503,59.40292497
Ohio,3959698,1700586,1791014,1968,48.70506358,51.29493642
Oklahoma,943086,301658,449697,1968,40.14853165,59.85146835
Oregon,819622,358866,408433,1968,46.77003359,53.22996641
Pennsylvania,4747928,2259405,2090017,1968,51.94724724,48.05275276
Rhode Island,385000,246518,122359,1968,66.82932251,33.17067749
South Carolina,666978,197486,254062,1968,43.73532825,56.26467175
South Dakota,281264,118023,149841,1968,44.06079204,55.93920796
Tennessee,1248617,351233,472592,1968,42.63441872,57.36558128
Texas,3079216,1266804,1227844,1968,50.78087169,49.21912831
Utah,422568,156665,238728,1968,39.62260333,60.37739667
Vermont,161404,70255,85142,1968,45.21001049,54.78998951
Virginia,1361491,442387,590319,1968,42.83765176,57.16234824
Washington,1304281,616037,588510,1968,51.14262872,48.85737128
West Virginia,754206,374091,307555,1968,54.88053917,45.11946083
Wisconsin,1691538,748804,809997,1968,48.03717729,51.96282271
Wyoming,127205,45173,70927,1968,38.9086994,61.0913006
Alabama,1006111,256923,728701,1972,26.06703976,73.93296024
Alaska,95219,32967,55349,1972,37.3284569,62.6715431
Arizona,622926,198540,402812,1972,33.01560484,66.98439516
Arkansas,651320,199892,448541,1972,30.826932,69.173068
California,8367862,3475847,4602096,1972,43.02886267,56.97113733
Colorado,953884,329980,597189,1972,35.59005963,64.40994037
Connecticut,1384277,555498,810763,1972,40.65826368,59.34173632
Delaware,235516,92283,140357,1972,39.66772696,60.33227304
District of Columbia,163421,127627,35226,1972,78.36944975,21.63055025
Florida,2583283,718117,1857759,1972,27.87855471,72.12144529
Georgia,1174772,289529,881496,1972,24.7244081,75.2755919
Hawaii,270274,101409,168865,1972,37.52081221,62.47918779
Idaho,310379,80826,199384,1972,28.84479498,71.15520502
Illinois,4723236,1913472,2788179,1972,40.697874,59.302126
Indiana,2125529,708568,1405154,1972,33.52228912,66.47771088
Iowa,1225944,496206,706207,1972,41.2675179,58.7324821
Kansas,916095,270287,619812,1972,30.36594806,69.63405194
Kentucky,1067499,371159,676446,1972,35.42928871,64.57071129
Louisiana,1051491,298142,686852,1972,30.26840773,69.73159227
Maine,417042,160584,256458,1972,38.50547427,61.49452573
Maryland,1353812,505781,829305,1972,37.88377678,62.11622322
Massachusetts,2458756,1332540,1112078,1972,54.50912985,45.49087015
Michigan,3489727,1459435,1961721,1972,42.65911873,57.34088127
Minnesota,1741652,802346,898269,1972,47.17975556,52.82024444
Mississippi,645963,126782,505125,1972,20.0633954,79.9366046
Missouri,1855803,697147,1153852,1972,37.66328345,62.33671655
Montana,317603,120197,183976,1972,39.51599912,60.48400088
Nebraska,576289,169991,406298,1972,29.49752641,70.50247359
Nevada,181766,66016,115750,1972,36.31922362,63.68077638
New Hampshire,334055,116435,213724,1972,35.26634137,64.73365863
New Jersey,2997229,1102211,1845502,1972,37.39207311,62.60792689
New Mexico,386241,141084,235606,1972,37.45360907,62.54639093
New York,7165919,2951084,4192778,1972,41.3093646,58.6906354
North Carolina,1518612,438705,1054889,1972,29.3724399,70.6275601
North Dakota,280514,100384,174109,1972,36.57069579,63.42930421
Ohio,4094787,1558889,2441827,1972,38.96525022,61.03474978
Oklahoma,1029900,247147,759025,1972,24.56309657,75.43690343
Oregon,927946,392760,486686,1972,44.65993364,55.34006636
Pennsylvania,4592106,1796951,2714521,1972,39.83070271,60.16929729
Rhode Island,415808,194645,220383,1972,46.89924535,53.10075465
South Carolina,673960,186824,477044,1972,28.14173902,71.85826098
South Dakota,307415,139945,166476,1972,45.67082543,54.32917457
Tennessee,1201182,357293,813147,1972,30.52638324,69.47361676
Texas,3471281,1154289,2298896,1972,33.42679295,66.57320705
Utah,478476,126284,323643,1972,28.06766431,71.93233569
Vermont,186947,68174,117149,1972,36.78658342,63.21341658
Virginia,1457019,438887,988493,1972,30.74773361,69.25226639
Washington,1470847,568334,837135,1972,40.43732021,59.56267979
West Virginia,762399,277435,484964,1972,36.38973818,63.61026182
Wisconsin,1852890,810174,989430,1972,45.01957097,54.98042903
Wyoming,145570,44358,100464,1972,30.62932427,69.37067573
